LapNumber,LapDistance,CarVelocity,DRS,Corner,CornerSpeed,CornerPhase,Straight,FrontRideHeight,RearRideHeight,CarBalance,TimeToCarAhead,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR
25,227.7639816,0.776887318,Off,-,-,-,T3 - T4,11.09802759,16.44883805,8.70E-13,3.206644058,21.57469748,15.27055581,13.86574855,21.43188894
25,229.1165935,0.777636386,Off,-,-,-,T3 - T4,11.38734028,16.33580051,4.90E-13,3.200978518,21.45684632,14.43769385,13.95642021,21.51381623
25,230.4925264,0.779505504,Off,-,-,-,T3 - T4,11.30962632,16.36233063,-1.53E-13,3.193503857,21.48965001,14.26527018,13.7336481,21.31246843
25,231.8684592,0.779410955,Off,-,-,-,T3 - T4,11.66035502,18.14976695,-4.90E-14,3.184213161,21.81506593,14.17954141,13.11464765,20.75193602
25,233.2336654,0.780545432,Off,-,-,-,T3 - T4,11.45094562,18.10026967,-1.94E-14,3.169197559,21.84464902,14.17232872,12.83451023,20.49774378
25,234.6095982,0.782072754,Off,-,-,-,T3 - T4,11.44508076,17.56246055,-9.30E-14,3.169126034,21.84405404,13.45786752,12.43541038,20.13504986
25,235.9729368,0.783418191,Off,-,-,-,T3 - T4,11.49550996,17.09894661,3.38E-13,3.161962032,21.78370221,13.31382202,12.28291986,19.99629623
25,237.3488697,0.783578214,Off,-,-,-,T3 - T4,11.60502058,17.55039003,5.50E-13,3.153974771,21.66335414,13.14173332,12.27737809,19.99125186
25,238.7373967,0.78546187,Off,-,-,-,T3 - T4,11.43961966,17.51825837,-2.43E-12,3.14609766,21.4547572,12.99647367,11.72899942,19.49146565
25,240.1240562,0.787730935,Off,-,-,-,T3 - T4,10.60783499,16.82466162,-2.78E-12,3.129522324,21.27048907,12.68388985,11.60138716,19.37498237
25,241.4999891,0.788458141,Off,-,-,-,T3 - T4,10.74250838,16.52664373,1.69E-11,3.129426003,20.563159,12.65524298,10.96680548,18.79473484
25,242.8759219,0.78855269,Off,-,-,-,T3 - T4,12.04468666,18.14407859,1.25E-11,3.11980629,20.53316177,12.62601971,10.90632006,18.73934052
25,244.2644489,0.791723633,Off,-,-,-,T3 - T4,11.58093205,17.93547653,-1.15E-10,3.110691071,20.47404599,12.53894439,10.87471212,18.71038695
25,245.6511085,0.792414551,Off,-,-,-,T3 - T4,10.85293229,17.23997334,-4.25E-11,3.104101419,20.44137939,12.34059028,10.72174887,18.5702101
25,247.0396355,0.791970881,Off,-,-,-,T3 - T4,10.81415045,16.39289417,7.65E-10,3.097545624,20.11765178,12.34059028,10.45001646,18.32095011
25,248.426295,0.793432728,Off,-,-,-,T3 - T4,11.41138418,17.28894584,1.87E-11,3.097528934,20.05390265,12.33973575,10.2671461,18.15302852
